state,n
ALABAMA,4
ALASKA,0
ARIZONA,1
ARKANSAS,2
CALIFORNIA,0
COLORADO,0
CONNECTICUT,0
DELAWARE,3
FLORIDA,2
GEORGIA,5
HAWAII,0
IDAHO,1
ILLINOIS,1
INDIANA,5
IOWA,0
KANSAS,0
KENTUCKY,6
LOUISIANA,4
MAINE,1
MARYLAND,0
MASSACHUSETTS,0
MICHIGAN,0
MINNESOTA,0
MISSISSIPPI,2
MISSOURI,1
MONTANA,3
NEBRASKA,1
NEVADA,0
NEW HAMPSHIRE,0
NEW JERSEY,1
NEW MEXICO,0
NEW YORK,0
NORTH CAROLINA,2
NORTH DAKOTA,0
OHIO,0
OKLAHOMA,3
OREGON,0
PENNSYLVANIA,0
RHODE ISLAND,0
SOUTH CAROLINA,2
SOUTH DAKOTA,0
TENNESSEE,5
TEXAS,4
UTAH,2
VERMONT,1
VIRGINIA,3
WASHINGTON,0
WEST VIRGINIA,6
WISCONSIN,1
WYOMING,1
