state,n
ALABAMA,3
ALASKA,0
ARIZONA,1
ARKANSAS,3
CALIFORNIA,0
COLORADO,1
CONNECTICUT,0
DELAWARE,0
FLORIDA,1
GEORGIA,2
HAWAII,0
IDAHO,0
ILLINOIS,1
INDIANA,0
IOWA,3
KANSAS,2
KENTUCKY,4
LOUISIANA,0
MAINE,0
MARYLAND,0
MASSACHUSETTS,0
MICHIGAN,0
MINNESOTA,2
MISSISSIPPI,4
MISSOURI,1
MONTANA,0
NEBRASKA,1
NEVADA,0
NEW HAMPSHIRE,0
NEW JERSEY,0
NEW MEXICO,0
NEW YORK,0
NORTH CAROLINA,3
NORTH DAKOTA,1
OHIO,1
OKLAHOMA,0
OREGON,0
PENNSYLVANIA,1
RHODE ISLAND,0
SOUTH CAROLINA,4
SOUTH DAKOTA,4
TENNESSEE,2
TEXAS,2
UTAH,0
VERMONT,0
VIRGINIA,0
WASHINGTON,0
WEST VIRGINIA,0
WISCONSIN,1
WYOMING,0
