state,n
ALABAMA,4
ALASKA,0
ARIZONA,0
ARKANSAS,3
CALIFORNIA,0
COLORADO,0
CONNECTICUT,0
DELAWARE,1
FLORIDA,1
GEORGIA,3
HAWAII,0
IDAHO,0
ILLINOIS,0
INDIANA,0
IOWA,0
KANSAS,0
KENTUCKY,1
LOUISIANA,1
MAINE,0
MARYLAND,0
MASSACHUSETTS,0
MICHIGAN,0
MINNESOTA,0
MISSISSIPPI,4
MISSOURI,1
MONTANA,0
NEBRASKA,0
NEVADA,0
NEW HAMPSHIRE,0
NEW JERSEY,0
NEW MEXICO,0
NEW YORK,0
NORTH CAROLINA,4
NORTH DAKOTA,0
OHIO,0
OKLAHOMA,2
OREGON,0
PENNSYLVANIA,2
RHODE ISLAND,0
SOUTH CAROLINA,3
SOUTH DAKOTA,0
TENNESSEE,3
TEXAS,5
UTAH,0
VERMONT,0
VIRGINIA,3
WASHINGTON,0
WEST VIRGINIA,1
WISCONSIN,0
WYOMING,0
